brand,category,coupon,features,id,image,name,price,size,uomSalePrice,type,simple_type
0,Central Market,Dairy & Eggs/Milk,0.0,"['  ORGANIC', '  GO LOCAL']",931316,https://images.heb.com/is/image/HEBGrocery/prd-small/central-market-organics-whole-milk-000931316.jpg,"Central Market Organics Whole Milk, 1 gal",5.85, 1 gal,($0.05/oz), Organics Whole Milk, Organics Whole Milk
1,Central Market,Dairy & Eggs/Milk,0.0,"['  ORGANIC', '  GO LOCAL']",931317,https://images.heb.com/is/image/HEBGrocery/prd-small/central-market-organics-reduced-fat-2-milkfat-milk-000931317.jpg,"Central Market Organics Reduced Fat 2% Milkfat Milk, 1 gal",5.85, 1 gal,($0.05/oz), Organics Reduced Fat 2% Milkfat Milk, Organics Reduced Fat 2% Milkfat Milk
2,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS', ' Primo Pick']",671076,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-mootopia-lactose-free-2-reduced-fat-milk-000671076.jpg,"H‑E‑B Select Ingredients MooTopia Lactose Free 2% Reduced Fat Milk, 1/2 gal",4.1, 1/2 gal,($0.07/oz), Select Ingredients MooTopia Lactose Free 2% Reduced Fat Milk, Select Ingredients MooTopia Lactose Free 2% Reduced Fat Milk
3,H-E-B,Dairy & Eggs/Milk,0.0,"['  CARB AWARE', '  LOW SATURATED FAT', '  GO LOCAL', '  SELECT INGREDIENTS']",314136,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-fat-free-milk-000314136.jpg,"H‑E‑B Select Ingredients Fat Free Milk, 1/2 gal",1.94, 1/2 gal,($0.04/oz), Select Ingredients Fat Free Milk, Select Ingredients Fat Free Milk
4,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS']",314134,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-1-low-fat-milk-000314134.jpg,"H‑E‑B Select Ingredients 1% Low Fat Milk, 1/2 gal",1.94, 1/2 gal,($0.04/oz), Select Ingredients 1% Low Fat Milk, Select Ingredients 1% Low Fat Milk
5,H-E-B,Dairy & Eggs/Milk,0.0,"['  CARB AWARE', '  LOW SATURATED FAT', '  GO LOCAL', '  SELECT INGREDIENTS', ' Primo Pick']",671075,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-mootopia-lactose-free-fat-free-milk-000671075.jpg,"H‑E‑B Select Ingredients MooTopia Lactose Free Fat Free Milk, 1/2 gal",4.1, 1/2 gal,($0.07/oz), Select Ingredients MooTopia Lactose Free Fat Free Milk, Select Ingredients MooTopia Lactose Free Fat Free Milk
6,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', ' Primo Pick']",730555,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-mootopia-lactose-free-chocolate-2-reduced-fat-milk-000730555.jpg,"H‑E‑B MooTopia Lactose Free Chocolate 2% Reduced Fat Milk, 1/2 gal",4.1, 1/2 gal,($0.07/oz), MooTopia Lactose Free Chocolate 2% Reduced Fat Milk, MooTopia Lactose Free Chocolate 2% Reduced Fat Milk
7,Central Market,Dairy & Eggs/Milk,0.0,"['  KOSHER', '  LOW SODIUM', '  VEGETARIAN', '  ORGANIC', '  GO LOCAL']",1770593,https://images.heb.com/is/image/HEBGrocery/prd-small/central-market-organics-2-reduced-fat-milk-001770593.jpg,"Central Market Organics 2% Reduced Fat Milk, 1 qt",2.04, 1 qt,($0.07/oz), Organics 2% Reduced Fat Milk, Organics 2% Reduced Fat Milk
8,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS']",314129,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-low-fat-1-milk-000314129.jpg,"H‑E‑B Select Ingredients Low Fat 1% Milk, 1 gal",3.38, 1 gal,($0.03/oz), Select Ingredients Low Fat 1% Milk, Select Ingredients Low Fat 1% Milk
9,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS']",481244,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-reduced-fat-2-milk-000481244.jpg,"H‑E‑B Select Ingredients Reduced Fat 2% Milk, 1/2 gal",1.94, 1/2 gal,($0.04/oz), Select Ingredients Reduced Fat 2% Milk, Select Ingredients Reduced Fat 2% Milk
10,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS']",629468,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-lactose-free-whole-milk-000629468.jpg,"H‑E‑B Select Ingredients Lactose Free Whole Milk, 1/2 gal",2.96, 1/2 gal,($0.05/oz), Select Ingredients Lactose Free Whole Milk, Select Ingredients Lactose Free Whole Milk
11,H-E-B,Dairy & Eggs/Milk,0.0,['  SELECT INGREDIENTS'],1280425,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-lactose-free-reduced-fat-2-milk-001280425.jpg,"H‑E‑B Select Ingredients Lactose Free Reduced Fat 2% Milk, 1/2 gal",2.96, 1/2 gal,($0.05/oz), Select Ingredients Lactose Free Reduced Fat 2% Milk, Select Ingredients Lactose Free Reduced Fat 2% Milk
12,H-E-B,Dairy & Eggs/Milk,0.0,,4557001,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-original-oat-milk-004557001.jpg,"H‑E‑B Original Oat Milk, 64 oz",3.58, 64 oz,($0.06/fl oz), Original Oat Milk, Original Oat Milk
13,Promised Land,Dairy & Eggs/Milk,1.0,"['  KOSHER', '  VEGETARIAN']",679566,https://images.heb.com/is/image/HEBGrocery/prd-small/promised-land-whole-milk-000679566.jpg,"Promised Land Whole Milk, 52 oz",4.1, 52 oz,($0.08/oz), Whole Milk, Whole Milk
14,Promised Land,Dairy & Eggs/Milk,1.0,"['  VEGETARIAN', '  KOSHER']",679567,https://images.heb.com/is/image/HEBGrocery/prd-small/promised-land-2-reduced-fat-milk-000679567.jpg,"Promised Land 2% Reduced Fat Milk, 52 oz",4.1, 52 oz,($0.08/oz), 2% Reduced Fat Milk, 2% Reduced Fat Milk
15,H-E-B,Dairy & Eggs/Milk,0.0,"['  CARB AWARE', '  LOW SATURATED FAT', '  GO LOCAL', '  SELECT INGREDIENTS']",314132,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-fat-free-milk-000314132.jpg,"H‑E‑B Select Ingredients Fat Free Milk, 1 gal",3.38, 1 gal,($0.03/oz), Select Ingredients Fat Free Milk, Select Ingredients Fat Free Milk
16,Central Market,Dairy & Eggs/Milk,0.0,"['  ORGANIC', '  CARB AWARE', '  LOW SATURATED FAT', '  GO LOCAL']",931319,https://images.heb.com/is/image/HEBGrocery/prd-small/central-market-organics-fat-free-milk-000931319.jpg,"Central Market Organics Fat Free Milk, 1 gal",5.85, 1 gal,($0.05/oz), Organics Fat Free Milk, Organics Fat Free Milk
17,Central Market,Dairy & Eggs/Milk,0.0,"['  ORGANIC', '  GO LOCAL']",931318,https://images.heb.com/is/image/HEBGrocery/prd-small/central-market-organics-low-fat-1-milk-000931318.jpg,"Central Market Organics Low Fat 1% Milk, 1 gal",5.85, 1 gal,($0.05/oz), Organics Low Fat 1% Milk, Organics Low Fat 1% Milk
18,Horizon Organic,Dairy & Eggs/Milk,0.0,"['  KOSHER', '  VEGETARIAN', '  LOW SODIUM', '  HEART HEALTHY', '  ORGANIC', '  GO LOCAL']",946516,https://images.heb.com/is/image/HEBGrocery/prd-small/horizon-organic-fat-free-milk-000946516.jpg,"Horizon Organic Fat Free Milk, 1/2 gal",4.0, 1/2 gal,($0.07/oz), Fat Free Milk, Fat Free Milk
19,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS', ' Primo Pick']",3135005,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-mootopia-nbsp-lactose-free-whole-milk-003135005.jpg,"H‑E‑B Select Ingredients MooTopia Lactose Free Whole Milk, 1/2 gal",4.1, 1/2 gal,($0.07/oz), Select Ingredients MooTopia Lactose Free Whole Milk, Select Ingredients MooTopia Lactose Free Whole Milk
20,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', ' Primo Pick']",1640462,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-mootopia-lactose-free-vanilla-2-reduced-fat-milk-001640462.jpg,"H‑E‑B MooTopia Lactose Free Vanilla 2% Reduced Fat Milk, 1/2 gal",4.1, 1/2 gal,($0.07/oz), MooTopia Lactose Free Vanilla 2% Reduced Fat Milk, MooTopia Lactose Free Vanilla 2% Reduced Fat Milk
21,H-E-B,Dairy & Eggs/Milk,0.0,"['  LOW SATURATED FAT', '  GO LOCAL', '  SELECT INGREDIENTS']",658772,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-fat-free-milk-000658772.jpg,"H‑E‑B Select Ingredients Fat Free Milk, 1 pt",1.03, 1 pt,($0.07/oz), Select Ingredients Fat Free Milk, Select Ingredients Fat Free Milk
22,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS']",658771,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-reduced-fat-2-milk-000658771.jpg,"H‑E‑B Select Ingredients Reduced Fat 2% Milk, 1 pt",1.03, 1 pt,($0.07/oz), Select Ingredients Reduced Fat 2% Milk, Select Ingredients Reduced Fat 2% Milk
23,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS']",500450,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-chocolate-1-low-fat-milk-000500450.jpg,"H‑E‑B Chocolate 1% Low Fat Milk, 1 pt",1.03, 1 pt,($0.07/oz), Chocolate 1% Low Fat Milk, Chocolate 1% Low Fat Milk
24,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS']",500453,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-whole-milk-000500453.jpg,"H‑E‑B Select Ingredients Whole Milk, 1 pt",1.03, 1 pt,($0.07/oz), Select Ingredients Whole Milk, Select Ingredients Whole Milk
25,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS']",325152,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-chocolate-milk-000325152.jpg,"H‑E‑B Chocolate Milk, 1 pt",1.03, 1 pt,($0.07/oz), Chocolate Milk, Chocolate Milk
26,H-E-B,Dairy & Eggs/Milk,0.0,"['  ORGANIC', '  CARB AWARE', '  LOW SATURATED FAT']",2297031,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-organics-lactose-free-fat-free-milk-002297031.jpg,"H‑E‑B Organics Lactose Free Fat Free Milk, 1/2 gal",3.58, 1/2 gal,($0.06/oz), Organics Lactose Free Fat Free Milk, Organics Lactose Free Fat Free Milk
27,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS']",519750,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-whole-milk-000519750.jpg,"H‑E‑B Select Ingredients Whole Milk, 1 qt",1.32, 1 qt,($0.05/oz), Select Ingredients Whole Milk, Select Ingredients Whole Milk
28,Horizon Organic,Dairy & Eggs/Milk,0.0,"['  KOSHER', '  VEGETARIAN', '  LOW SODIUM', '  ORGANIC', '  GO LOCAL']",946513,https://images.heb.com/is/image/HEBGrocery/prd-small/horizon-organic-2-reduced-fat-milk-000946513.jpg,"Horizon Organic 2% Reduced Fat Milk, 1/2 gal",4.0, 1/2 gal,($0.07/oz), 2% Reduced Fat Milk, 2% Reduced Fat Milk
29,H-E-B,Dairy & Eggs/Milk,1.0,"['  VEGETARIAN', '  LESS THAN 5G NET CARBS', '  HEART HEALTHY', '  KOSHER', '  VEGAN', '  GLUTEN FREE VERIFIED', '  SUGAR FREE']",1741532,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-unsweet-original-almond-milk-001741532.jpg,"H‑E‑B Unsweet Original Almond Milk, 1/2 gal",2.65, 1/2 gal,($0.05/oz), Unsweet Original Almond Milk, Unsweet Original Almond Milk
30,H-E-B,Dairy & Eggs/Milk,1.0,"['  GLUTEN FREE VERIFIED', '  HEART HEALTHY', '  KOSHER', '  VEGETARIAN', '  VEGAN']",1435589,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-original-almond-milk-001435589.jpg,"H‑E‑B Original Almond Milk, 1/2 gal",2.65, 1/2 gal,($0.05/oz), Original Almond Milk, Original Almond Milk
31,H-E-B,Dairy & Eggs/Milk,1.0,"['  VEGETARIAN', '  KOSHER', '  GLUTEN FREE VERIFIED', '  VEGAN', '  HEART HEALTHY']",1435585,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-chocolate-almond-milk-001435585.jpg,"H‑E‑B Chocolate Almond Milk, 1/2 gal",2.65, 1/2 gal,($0.05/oz), Chocolate Almond Milk, Chocolate Almond Milk
32,H-E-B,Dairy & Eggs/Milk,1.0,"['  GLUTEN FREE VERIFIED', '  KOSHER', '  VEGAN', '  HEART HEALTHY', '  VEGETARIAN']",1435590,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-vanilla-almond-milk-001435590.jpg,"H‑E‑B Vanilla Almond Milk, 1/2 gal",2.65, 1/2 gal,($0.05/oz), Vanilla Almond Milk, Vanilla Almond Milk
33,Blue Diamond,Dairy & Eggs/Milk,0.0,"['  HEART HEALTHY', '  LESS THAN 5G NET CARBS', '  KOSHER', '  SUGAR FREE', '  VEGAN', '  GLUTEN FREE VERIFIED', '  VEGETARIAN']",967248,https://images.heb.com/is/image/HEBGrocery/prd-small/blue-diamond-almond-breeze-unsweetened-original-almond-milk-000967248.jpg,"Blue Diamond Almond Breeze Unsweetened Original Almond Milk, 32 oz",2.0, 32 oz,($0.07/oz), Almond Breeze Unsweetened Original Almond Milk, Almond Breeze Unsweetened Original Almond Milk
34,Generous Provisions,Dairy & Eggs/Milk,0.0,"['  ORGANIC', '  VEGAN', '  CARB AWARE', '  LOW SATURATED FAT']",2707506,https://images.heb.com/is/image/HEBGrocery/prd-small/generous-provisions-organic-unsweetened-original-almond-milk-002707506.jpg,"Generous Provisions Organic Unsweetened Original Almond Milk, 32 oz",2.06, 32 oz,($0.07/oz), Organic Unsweetened Original Almond Milk, Organic Unsweetened Original Almond Milk
35,Blue Diamond,Dairy & Eggs/Milk,0.0,"['  KOSHER', '  HEART HEALTHY', '  LESS THAN 5G NET CARBS', '  SUGAR FREE', '  VEGAN', '  GLUTEN FREE VERIFIED', '  VEGETARIAN']",967250,https://images.heb.com/is/image/HEBGrocery/prd-small/blue-diamond-almond-breeze-unsweetened-vanilla-non-dairy-beverage-000967250.jpg,"Blue Diamond Almond Breeze Unsweetened Vanilla Non-dairy Beverage, 32 oz",2.0,,($0.07/oz), Almond Breeze Unsweetened Vanilla Non-dairy Beverage, Almond Breeze Unsweetened Vanilla Non-dairy Beverage
36,Generous Provisions,Dairy & Eggs/Milk,0.0,"['  ORGANIC', '  GLUTEN FREE VERIFIED', '  VEGAN', '  CARB AWARE', '  LOW SATURATED FAT']",2707517,https://images.heb.com/is/image/HEBGrocery/prd-small/generous-provisions-organic-unsweetened-vanilla-almond-milk-002707517.jpg,"Generous Provisions Organic Unsweetened Vanilla Almond Milk, 32 oz",2.06, 32 oz,($0.07/oz), Organic Unsweetened Vanilla Almond Milk, Organic Unsweetened Vanilla Almond Milk
37,Horizon Organic,Dairy & Eggs/Milk,0.0,"['  KOSHER', '  LOW SODIUM', '  VEGETARIAN', '  ORGANIC', '  GO LOCAL']",540142,https://images.heb.com/is/image/HEBGrocery/prd-small/horizon-organic-2-reduced-fat-milk-000540142.jpg,"Horizon Organic 2% Reduced Fat Milk, 1 gal",6.67, 1 gal,($0.06/oz), 2% Reduced Fat Milk, 2% Reduced Fat Milk
38,H-E-B,Dairy & Eggs/Milk,1.0,"['  VEGETARIAN', '  KOSHER', '  GLUTEN FREE VERIFIED', '  VEGAN', '  LESS THAN 5G NET CARBS', '  HEART HEALTHY']",1435591,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-unsweetened-vanilla-almond-milk-001435591.jpg,"H‑E‑B Unsweetened Vanilla Almond Milk, 1/2 gal",2.65, 1/2 gal,($0.05/oz), Unsweetened Vanilla Almond Milk, Unsweetened Vanilla Almond Milk
39,Fairlife,Dairy & Eggs/Milk,0.0,"['  KOSHER', '  LOW SODIUM']",2115731,https://images.heb.com/is/image/HEBGrocery/prd-small/fairlife-dha-omega-3-2-reduced-fat-milk-002115731.jpg,"Fairlife DHA Omega-3 2% Reduced Fat Milk, 52 oz",4.1, 52 oz,($0.08/oz), DHA Omega-3 2% Reduced Fat Milk, DHA Omega-3 2% Reduced Fat Milk
40,H-E-B,Dairy & Eggs/Milk,0.0,['  ORGANIC'],2297036,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-organics-lactose-free-2-reduced-fat-milk-002297036.jpg,"H‑E‑B Organics Lactose Free 2% Reduced Fat Milk, 1/2 gal",3.58, 1/2 gal,($0.06/oz), Organics Lactose Free 2% Reduced Fat Milk, Organics Lactose Free 2% Reduced Fat Milk
41,a2 Milk,Dairy & Eggs/Milk,0.0,"['  VEGETARIAN', '  KOSHER']",1953832,https://images.heb.com/is/image/HEBGrocery/prd-small/a2-milk-whole-milk-001953832.jpg,"a2 Milk Whole Milk, 59 oz",4.41, 59 oz,($0.08/oz), Whole Milk, Whole Milk
42,Fairlife,Dairy & Eggs/Milk,0.0,"['  KOSHER', '  VEGETARIAN', '  LOW SODIUM']",1838031,https://images.heb.com/is/image/HEBGrocery/prd-small/fairlife-2-reduced-fat-milk-001838031.jpg,"Fairlife 2% Reduced Fat Milk, 52 oz",3.28, 52 oz,($0.07/oz), 2% Reduced Fat Milk, 2% Reduced Fat Milk
43,Fairlife,Dairy & Eggs/Milk,0.0,['  KOSHER'],1838035,https://images.heb.com/is/image/HEBGrocery/prd-small/fairlife-2-chocolate-reduced-fat-milk-001838035.jpg,"Fairlife 2% Chocolate Reduced Fat Milk, 52 oz",3.28, 52 oz,($0.07/oz), 2% Chocolate Reduced Fat Milk, 2% Chocolate Reduced Fat Milk
44,OATLY,Dairy & Eggs/Milk,0.0,"['  KOSHER', '  LOW SODIUM', '  HEART HEALTHY', '  VEGETARIAN', '  VEGAN', '  GLUTEN FREE VERIFIED']",2242160,https://images.heb.com/is/image/HEBGrocery/prd-small/oatly-the-original-oat-milk-002242160.jpg,"OATLY The Original Oat Milk, 1/2 gal",4.51, 1/2 gal,($0.08/oz), The Original Oat Milk, The Original Oat Milk
45,Horizon Organic,Dairy & Eggs/Milk,0.0,"['  KOSHER', '  VEGETARIAN', '  ORGANIC', '  GO LOCAL']",540143,https://images.heb.com/is/image/HEBGrocery/prd-small/horizon-organic-whole-milk-000540143.jpg,"Horizon Organic Whole Milk, 1 gal",6.67, 1 gal,($0.06/oz), Whole Milk, Whole Milk
46,H-E-B,Dairy & Eggs/Milk,0.0,"['  SELECT INGREDIENTS', ' Primo Pick']",671079,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-mootopia-lactose-free-whole-milk-000671079.jpg,"H‑E‑B Select Ingredients MooTopia Lactose Free Whole Milk, 1 qt",2.45, 1 qt,($0.08/oz), Select Ingredients MooTopia Lactose Free Whole Milk, Select Ingredients MooTopia Lactose Free Whole Milk
47,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', ' Primo Pick']",1541677,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-mootopia-lactose-free-chocolate-reduced-fat-2-milk-001541677.jpg,"H‑E‑B MooTopia Lactose Free Chocolate Reduced Fat 2% Milk, 1 qt",2.45, 1 qt,($0.08/oz), MooTopia Lactose Free Chocolate Reduced Fat 2% Milk, MooTopia Lactose Free Chocolate Reduced Fat 2% Milk
48,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS']",658775,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-low-fat-cultured-1-milkfat-buttermilk-000658775.jpg,"H‑E‑B Low Fat Cultured 1% Milkfat Buttermilk, 1 pt",1.02, 1 pt,($0.07/oz), Low Fat Cultured 1% Milkfat Buttermilk, Low Fat Cultured 1% Milkfat Buttermilk
49,H-E-B,Dairy & Eggs/Milk,0.0,"['  GO LOCAL', '  SELECT INGREDIENTS']",314075,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-low-fat-cultured-1-milkfat-buttermilk-000314075.jpg,"H‑E‑B Low Fat Cultured 1% Milkfat Buttermilk, 1/2 gal",2.86, 1/2 gal,($0.05/oz), Low Fat Cultured 1% Milkfat Buttermilk, Low Fat Cultured 1% Milkfat Buttermilk
